N	WORD	FREQUENCY	%
287	open	30291	0.03
288	market	30078	0.03
289	times	29910	0.03
290	whole	29860	0.03
291	support	29835	0.03
292	half	29782	0.03
293	eyes	29706	0.03
294	members	29678	0.03
295	working	29252	0.03
296	control	29111	0.03
297	major	29088	0.03
298	problem	28993	0.03
299	doing	28774	0.03
300	court	28751	0.03
301	towards	28600	0.03
302	mind	28475	0.03
303	anything	28321	0.03
304	others	28258	0.03
305	felt	28040	0.03
306	war	27903	0.03
307	car	27873	0.03
308	police	27855	0.03
309	keep	27813	0.03
310	full	27799	0.03
311	making	27769	0.03
312	either	27766	0.03
313	held	27753	0.03
314	report	27710	0.03
315	interest	27611	0.03
316	once	27551	0.03
317	problems	27495	0.03
318	act	27467	0.03
319	road	27401	0.03
320	probably	27303	0.03
321	available	27184	0.03
322	labour	27108	0.03
323	law	27033	0.03
324	research	26992	0.03
325	following	26987	0.03
326	am	26872	0.03
327	level	26774	0.03
328	show	26745	0.03
329	saw	26737	0.03
330	looking	26638	0.03
331	feel	26396	0.03
332	today	26343	0.03
333	name	26305	0.03
334	mother	26254	0.03
335	past	26244	0.03
336	question	26219	0.03
337	let	26098	0.03
338	knew	26082	0.03
339	education	26008	0.03
340	actually	25990	0.03
341	policy	25969	0.03
342	ever	25904	0.03
343	known	25822	0.03
344	above	25748	0.03
345	office	25684	0.03
346	big	25582	0.03
347	clear	25538	0.03
348	body	25526	0.03
349	door	25365	0.03
350	voice	25297	0.03
351	across	25203	0.03
352	britain	25101	0.03
353	3	25042	0.03
354	person	24982	0.03
355	together	24960	0.03
356	main	24931	0.03
357	services	24928	0.03
358	care	24905	0.03
359	black	24901	0.03
360	book	24824	0.03
361	months	24818	0.03
362	turned	24665	0.03
363	using	24663	0.03
364	health	24649	0.03
365	sure	24595	0.03
366	white	24554	0.03
367	million	24550	0.03
368	words	24444	0.03
369	child	24397	0.03
370	period	24311	0.03
371	minister	24213	0.03
372	including	24124	0.03
373	several	24002	0.03
374	father	23989	0.03
375	society	23845	0.03
376	seemed	23813	0.03
377	kind	23797	0.03
378	began	23749	0.03
379	god	23747	0.03
380	top	23737	0.03
381	start	23726	0.03
382	itself	23712	0.03
383	behind	23698	0.03
384	themselves	23676	0.03
385	wanted	23634	0.03
386	economic	23565	0.03
387	love	23459	0.03
388	means	23453	0.03
389	upon	23409	0.03
390	areas	23363	0.03
391	effect	23361	0.03
392	likely	23304	0.03
393	english	23262	0.03
394	city	23247	0.03
395	therefore	23218	0.03
396	woman	23213	0.03
397	real	23180	0.03
398	position	23178	0.03
399	centre	23175	0.03
400	south	23172	0.03
401	england	23170	0.03
402	community	23086	0.03
403	view	23024	0.03
404	gave	22946	0.03
405	hard	22935	0.03
406	job	22891	0.03
407	among	22864	0.03
408	staff	22723	0.03
409	read	22701	0.03
410	process	22691	0.03
411	line	22689	0.03
412	future	22649	0.03
413	particular	22358	0.02
414	provide	22321	0.02
415	present	22315	0.02
416	became	22311	0.02
417	taking	22278	0.02
418	international	22215	0.02
419	study	22188	0.02
420	moment	22146	0.02
421	run	22125	0.02
422	special	22119	0.02
423	action	22099	0.02
424	result	22098	0.02
425	difficult	22033	0.02
426	pay	22023	0.02
427	particularly	22010	0.02
428	sense	21935	0.02
429	age	21857	0.02
430	order	21812	0.02
431	management	21794	0.02
432	idea	21703	0.02
433	certain	21631	0.02
434	north	21625	0.02
435	light	21605	0.02
436	play	21604	0.02
437	sort	21519	0.02
438	west	21498	0.02
439	evidence	21481	0.02
440	try	21394	0.02
441	close	21380	0.02
442	experience	21374	0.02
443	rather	21341	0.02
444	land	21334	0.02
445	third	21198	0.02
446	seems	21194	0.02
447	believe	21186	0.02
448	morning	21144	0.02
449	outside	21130	0.02
450	turn	21026	0.02
451	else	20923	0.02
452	free	20867	0.02
453	meeting	20801	0.02
454	leave	20699	0.02
455	cost	20615	0.02
456	church	20543	0.02
457	death	20526	0.02
458	sometimes	20518	0.02
459	thus	20488	0.02
460	training	20471	0.02
461	range	20427	0.02
462	move	20427	0.02
463	coming	20376	0.02
464	brought	20364	0.02
465	getting	20355	0.02
466	european	20354	0.02
467	ten	20274	0.02
468	matter	20236	0.02
469	shall	20234	0.02
470	heard	20210	0.02
471	table	20200	0.02
472	needs	20177	0.02
473	late	20073	0.02
474	4	20020	0.02
475	trade	19981	0.02
476	involved	19964	0.02
477	mrs	19845	0.02
478	industry	19835	0.02
479	whose	19834	0.02
480	ago	19810	0.02
481	century	19733	0.02
482	course	19694	0.02
483	street	19614	0.02
484	human	19584	0.02
485	united	19549	0.02
486	gone	19548	0.02
487	call	19484	0.02
488	lost	19420	0.02
489	ask	19401	0.02
490	word	19379	0.02
491	groups	19363	0.02
492	along	19335	0.02
493	central	19319	0.02
494	history	19308	0.02
495	few	19161	0.02
496	usually	19151	0.02
497	changes	19150	0.02
498	remember	19145	0.02
499	hundred	19109	0.02
500	individual	19084	0.02
501	air	19076	0.02
502	programme	19071	0.02
503	rate	19060	0.02
504	building	19040	0.02
505	sir	19005	0.02
506	food	18992	0.02
507	hands	18978	0.02
508	committee	18976	0.02
509	team	18922	0.02
510	hours	18887	0.02
511	indeed	18858	0.02
512	b	18826	0.02
513	language	18778	0.02
514	someone	18681	0.02
515	everything	18675	0.02
516	short	18652	0.02
517	certainly	18647	0.02
518	trying	18644	0.02
519	based	18640	0.02
520	section	18608	0.02
521	10	18576	0.02
522	saying	18503	0.02
523	lot	18483	0.02
524	price	18477	0.02
525	similar	18432	0.02
526	reason	18419	0.02
527	single	18406	0.02
528	minutes	18400	0.02
529	authority	18345	0.02
530	town	18306	0.02
531	cases	18276	0.02
532	common	18249	0.02
533	true	18239	0.02
534	role	18220	0.02
535	data	18217	0.02
536	subject	18198	0.02
537	europe	18172	0.02
538	class	18149	0.02
539	nature	18126	0.02
540	necessary	18108	0.02
541	states	18010	0.02
